threshold,accuracy,precision,recall,f1,fp,fn
0.1,0.8333333333333334,0.8333333333333334,1.0,0.9090909090909091,1,0
0.15000000000000002,0.8333333333333334,0.8333333333333334,1.0,0.9090909090909091,1,0
0.2,0.8333333333333334,0.8333333333333334,1.0,0.9090909090909091,1,0
0.25,0.8333333333333334,0.8333333333333334,1.0,0.9090909090909091,1,0
0.30000000000000004,0.8333333333333334,0.8333333333333334,1.0,0.9090909090909091,1,0
0.35,0.8333333333333334,0.8333333333333334,1.0,0.9090909090909091,1,0
0.4,0.8333333333333334,0.8333333333333334,1.0,0.9090909090909091,1,0
0.45000000000000007,0.8333333333333334,0.8333333333333334,1.0,0.9090909090909091,1,0
0.5,0.8333333333333334,0.8333333333333334,1.0,0.9090909090909091,1,0
0.55,0.8333333333333334,0.8333333333333334,1.0,0.9090909090909091,1,0
0.6,0.6666666666666666,0.8,0.8,0.8,1,1
0.65,0.6666666666666666,1.0,0.6,0.75,0,2
0.7000000000000001,0.16666666666666666,0.0,0.0,0.0,0,5
0.75,0.16666666666666666,0.0,0.0,0.0,0,5
0.8,0.16666666666666666,0.0,0.0,0.0,0,5
0.85,0.16666666666666666,0.0,0.0,0.0,0,5
0.9,0.16666666666666666,0.0,0.0,0.0,0,5
