threshold,accuracy,precision,recall,f1,fp,fn
0.1,0.8584070796460177,0.6172839506172839,0.9803921568627451,0.7575757575757576,31,1
0.15000000000000002,0.8672566371681416,0.6329113924050633,0.9803921568627451,0.7692307692307693,29,1
0.2,0.8761061946902655,0.6575342465753424,0.9411764705882353,0.7741935483870968,25,3
0.25,0.8849557522123894,0.676056338028169,0.9411764705882353,0.7868852459016393,23,3
0.30000000000000004,0.8893805309734514,0.6911764705882353,0.9215686274509803,0.7899159663865546,21,4
0.35,0.9026548672566371,0.7301587301587301,0.9019607843137255,0.8070175438596491,17,5
0.4,0.9070796460176991,0.7419354838709677,0.9019607843137255,0.8141592920353983,16,5
0.45000000000000007,0.9026548672566371,0.7377049180327869,0.8823529411764706,0.8035714285714286,16,6
0.5,0.9026548672566371,0.7377049180327869,0.8823529411764706,0.8035714285714286,16,6
0.55,0.915929203539823,0.7758620689655172,0.8823529411764706,0.8256880733944955,13,6
0.6,0.911504424778761,0.7719298245614035,0.8627450980392157,0.8148148148148148,13,7
0.65,0.9026548672566371,0.7735849056603774,0.803921568627451,0.7884615384615384,12,10
0.7000000000000001,0.8982300884955752,0.7692307692307693,0.7843137254901961,0.7766990291262136,12,11
0.75,0.8982300884955752,0.7692307692307693,0.7843137254901961,0.7766990291262136,12,11
0.8,0.8982300884955752,0.7692307692307693,0.7843137254901961,0.7766990291262136,12,11
0.85,0.9026548672566371,0.7959183673469388,0.7647058823529411,0.78,10,12
0.9,0.8849557522123894,0.7906976744186046,0.6666666666666666,0.723404255319149,9,17
