defect_type,n_samples,n_pos,n_neg,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn
crudo,151,150,1,0.9867549668874173,1.0,0.9866666666666667,0.9932885906040269,1.0,1.0,148,0,1,2
bruciato,147,123,24,1.0,1.0,1.0,1.0,1.0,1.0,123,0,24,0
marcio,109,95,14,0.9908256880733946,1.0,0.9894736842105263,0.9947089947089947,1.0,1.0,94,0,14,1
ammuffito,24,20,4,1.0,1.0,1.0,1.0,1.0,1.0,20,0,4,0
insetti,11,11,0,0.9090909090909091,1.0,0.9090909090909091,0.9523809523809523,,,10,0,0,1
altro,5,0,5,1.0,0.0,0.0,0.0,,,0,0,5,0
