food_category,n_samples,n_pos,n_neg,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn
ds1__modificate__root__000333.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__modificate__root__000336.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__modificate__root__000348.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__000369.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__modificate__root__000370.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__modificate__root__000376.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__000377.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__000395.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__000283.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__000302.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__000309.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__000314.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__000315.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__000322.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__000328.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__000331.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__000235.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__000236.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__modificate__root__000258.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__000264.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__000270.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
