threshold,accuracy,precision,recall,f1,fp,fn
0.1,0.7012987012987013,0.6714285714285714,1.0,0.8034188034188035,23,0
0.15000000000000002,0.7012987012987013,0.6714285714285714,1.0,0.8034188034188035,23,0
0.2,0.7012987012987013,0.6714285714285714,1.0,0.8034188034188035,23,0
0.25,0.7012987012987013,0.6714285714285714,1.0,0.8034188034188035,23,0
0.30000000000000004,0.7012987012987013,0.6714285714285714,1.0,0.8034188034188035,23,0
0.35,0.7142857142857143,0.6811594202898551,1.0,0.8103448275862069,22,0
0.4,0.7272727272727273,0.6911764705882353,1.0,0.8173913043478261,21,0
0.45000000000000007,0.7272727272727273,0.6911764705882353,1.0,0.8173913043478261,21,0
0.5,0.7272727272727273,0.6911764705882353,1.0,0.8173913043478261,21,0
0.55,0.7272727272727273,0.6911764705882353,1.0,0.8173913043478261,21,0
0.6,0.7272727272727273,0.6911764705882353,1.0,0.8173913043478261,21,0
0.65,0.7272727272727273,0.696969696969697,0.9787234042553191,0.8141592920353983,20,1
0.7000000000000001,0.7402597402597403,0.7076923076923077,0.9787234042553191,0.8214285714285714,19,1
0.75,0.7402597402597403,0.7076923076923077,0.9787234042553191,0.8214285714285714,19,1
0.8,0.7142857142857143,0.6984126984126984,0.9361702127659575,0.8,19,3
0.85,0.7142857142857143,0.6984126984126984,0.9361702127659575,0.8,19,3
0.9,0.7012987012987013,0.7,0.8936170212765957,0.7850467289719626,18,5
