generator,n_samples,n_pos,n_neg,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn
gpt_image_1_5,248,248,0,0.7258064516129032,1.0,0.7258064516129032,0.8411214953271028,,,180,0,0,68
gpt_image_1_mini,85,85,0,0.8823529411764706,1.0,0.8823529411764706,0.9375,,,75,0,0,10
crudo,25,25,0,0.76,1.0,0.76,0.8636363636363636,,,19,0,0,6
bruciato,9,9,0,0.7777777777777778,1.0,0.7777777777777778,0.875,,,7,0,0,2
marcio,7,7,0,0.7142857142857143,1.0,0.7142857142857143,0.8333333333333334,,,5,0,0,2
insetti,2,2,0,1.0,1.0,1.0,1.0,,,2,0,0,0
