defect_type,n_samples,n_pos,n_neg,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn
crudo,116,116,0,0.7758620689655172,1.0,0.7758620689655172,0.8737864077669902,,,90,0,0,26
marcio,98,98,0,0.7653061224489796,1.0,0.7653061224489796,0.8670520231213873,,,75,0,0,23
bruciato,93,93,0,0.8494623655913979,1.0,0.8494623655913979,0.9186046511627907,,,79,0,0,14
paella,37,37,0,0.8108108108108109,1.0,0.8108108108108109,0.8955223880597015,,,30,0,0,7
panino,35,35,0,0.7714285714285715,1.0,0.7714285714285715,0.8709677419354839,,,27,0,0,8
insetti,16,16,0,0.375,1.0,0.375,0.5454545454545454,,,6,0,0,10
altro,5,5,0,0.6,1.0,0.6,0.75,,,3,0,0,2
ammuffito,5,5,0,0.8,1.0,0.8,0.8888888888888888,,,4,0,0,1
verdura,5,5,0,0.2,1.0,0.2,0.3333333333333333,,,1,0,0,4
