threshold,accuracy,precision,recall,f1,fp,fn
0.1,0.6103896103896104,0.6103896103896104,1.0,0.7580645161290323,30,0
0.15000000000000002,0.6363636363636364,0.6266666666666667,1.0,0.7704918032786885,28,0
0.2,0.6623376623376623,0.6438356164383562,1.0,0.7833333333333333,26,0
0.25,0.6493506493506493,0.6388888888888888,0.9787234042553191,0.773109243697479,26,1
0.30000000000000004,0.6623376623376623,0.647887323943662,0.9787234042553191,0.7796610169491526,25,1
0.35,0.7402597402597403,0.7076923076923077,0.9787234042553191,0.8214285714285714,19,1
0.4,0.7402597402597403,0.7142857142857143,0.9574468085106383,0.8181818181818182,18,2
0.45000000000000007,0.7532467532467533,0.7413793103448276,0.9148936170212766,0.819047619047619,15,4
0.5,0.7662337662337663,0.7636363636363637,0.8936170212765957,0.8235294117647058,13,5
0.55,0.7402597402597403,0.7547169811320755,0.851063829787234,0.8,13,7
0.6,0.7272727272727273,0.76,0.8085106382978723,0.7835051546391752,12,9
0.65,0.7142857142857143,0.7659574468085106,0.7659574468085106,0.7659574468085106,11,11
0.7000000000000001,0.6753246753246753,0.75,0.7021276595744681,0.7252747252747253,11,14
0.75,0.7012987012987013,0.8,0.6808510638297872,0.735632183908046,8,15
0.8,0.7272727272727273,0.8421052631578947,0.6808510638297872,0.7529411764705882,6,15
0.85,0.7142857142857143,0.9032258064516129,0.5957446808510638,0.717948717948718,3,19
0.9,0.7012987012987013,0.9285714285714286,0.5531914893617021,0.6933333333333334,2,21
