threshold,accuracy,precision,recall,f1,fp,fn
0.1,0.9592760180995475,0.8727272727272727,0.96,0.9142857142857143,7,2
0.15000000000000002,0.9592760180995475,0.8727272727272727,0.96,0.9142857142857143,7,2
0.2,0.9592760180995475,0.8727272727272727,0.96,0.9142857142857143,7,2
0.25,0.9502262443438914,0.8679245283018868,0.92,0.8932038834951457,7,4
0.30000000000000004,0.9502262443438914,0.8679245283018868,0.92,0.8932038834951457,7,4
0.35,0.9502262443438914,0.8679245283018868,0.92,0.8932038834951457,7,4
0.4,0.9502262443438914,0.8679245283018868,0.92,0.8932038834951457,7,4
0.45000000000000007,0.9547511312217195,0.8846153846153846,0.92,0.9019607843137255,6,4
0.5,0.9547511312217195,0.8846153846153846,0.92,0.9019607843137255,6,4
0.55,0.9547511312217195,0.8846153846153846,0.92,0.9019607843137255,6,4
0.6,0.9547511312217195,0.8846153846153846,0.92,0.9019607843137255,6,4
0.65,0.9638009049773756,0.92,0.92,0.92,4,4
0.7000000000000001,0.9638009049773756,0.92,0.92,0.92,4,4
0.75,0.9638009049773756,0.92,0.92,0.92,4,4
0.8,0.9638009049773756,0.92,0.92,0.92,4,4
0.85,0.9638009049773756,0.92,0.92,0.92,4,4
0.9,0.9728506787330317,0.9583333333333334,0.92,0.9387755102040817,2,4
