photo_id,y_true,y_prob,y_pred,source,quality,food_category,defect_type,generator,prob_mean,prob_std,prob_min,prob_max,n_versions
9f3f,1,1.3281335625e-06,0,modificate,,altro,bruciato,gpt_image_1_5,1.3281335625e-06,3.543515433623385e-07,7.105278e-07,1.8762072e-06,8
fed5,1,0.00493097141875,0,modificate,,burger_panino,marcio,gpt_image_1_mini,0.00493097141875,0.010622504669488334,7.119849e-05,0.031156667,8
134b,1,0.227290567525,0,modificate,,burger_panino,marcio,gpt_image_1_5,0.227290567525,0.20924464731656656,0.0011088036,0.53183186,8
a71c,1,0.22996210717499999,0,modificate,,pasta,crudo,gpt_image_1_5,0.22996210717499999,0.4018869436360713,0.0013230087,0.9937844,8
