defect_type,n_samples,n_pos,n_neg,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn
marcio,31,31,0,0.5483870967741935,1.0,0.5483870967741935,0.7083333333333334,,,17,0,0,14
bruciato,26,26,0,0.8076923076923077,1.0,0.8076923076923077,0.8936170212765957,,,21,0,0,5
crudo,22,22,0,0.8181818181818182,1.0,0.8181818181818182,0.9,,,18,0,0,4
panino,16,16,0,0.75,1.0,0.75,0.8571428571428571,,,12,0,0,4
insetti,9,9,0,0.6666666666666666,1.0,0.6666666666666666,0.8,,,6,0,0,3
ammuffito,2,2,0,1.0,1.0,1.0,1.0,,,2,0,0,0
