photo_id,y_true,y_prob,y_pred,source,quality,food_category,defect_type,generator,prob_mean,prob_std,prob_min,prob_max,n_versions
0256,0,0.99998493375,1,originali,buono,pasta,,,0.99998493375,4.670833322755829e-06,0.99998033,0.99999475,8
bb31,0,0.9998683325,1,originali,buono,riso_paella,,,0.9998683325,8.288936718815773e-05,0.9997167,0.9999901,8
587c,0,0.9990551,1,originali,buono,pizza,,,0.9990551,0.0003536803692197876,0.99839765,0.9994049,8
b8a7,0,0.99859667,1,originali,buono,altro,,,0.99859667,8.159235801051465e-05,0.99849033,0.9987546,8
5cb6,0,0.99795264375,1,originali,buono,frutta_verdura,,,0.99795264375,0.0033503826740535533,0.9898719,0.99994636,8
e99d,0,0.99589363,1,originali,buono,riso_paella,,,0.99589363,0.0028119205837546257,0.991574,0.99982065,8
74ec,0,0.99395731625,1,originali,buono,pasta,,,0.99395731625,0.0051834607785558725,0.98573905,0.9997501,8
