threshold,accuracy,precision,recall,f1,fp,fn
0.1,0.9230769230769231,0.8,0.88,0.8380952380952381,11,6
0.15000000000000002,0.9230769230769231,0.8113207547169812,0.86,0.8349514563106796,10,7
0.2,0.9230769230769231,0.8113207547169812,0.86,0.8349514563106796,10,7
0.25,0.9230769230769231,0.8113207547169812,0.86,0.8349514563106796,10,7
0.30000000000000004,0.9230769230769231,0.8113207547169812,0.86,0.8349514563106796,10,7
0.35,0.9230769230769231,0.8113207547169812,0.86,0.8349514563106796,10,7
0.4,0.918552036199095,0.8076923076923077,0.84,0.8235294117647058,10,8
0.45000000000000007,0.918552036199095,0.8076923076923077,0.84,0.8235294117647058,10,8
0.5,0.918552036199095,0.8076923076923077,0.84,0.8235294117647058,10,8
0.55,0.918552036199095,0.8076923076923077,0.84,0.8235294117647058,10,8
0.6,0.918552036199095,0.8076923076923077,0.84,0.8235294117647058,10,8
0.65,0.918552036199095,0.8076923076923077,0.84,0.8235294117647058,10,8
0.7000000000000001,0.9276018099547512,0.84,0.84,0.84,8,8
0.75,0.9321266968325792,0.8571428571428571,0.84,0.8484848484848485,7,8
0.8,0.9321266968325792,0.8571428571428571,0.84,0.8484848484848485,7,8
0.85,0.9321266968325792,0.8571428571428571,0.84,0.8484848484848485,7,8
0.9,0.9321266968325792,0.8571428571428571,0.84,0.8484848484848485,7,8
